id,transaction_id,account_address,mint_address,pre_balance,post_balance,balance_delta
5540,3945,JAhHNUJq32JXDwPqvoZTvzoW51J4uqKZajHZD7Ec8Lty,,0,1100000,1100000
5539,3945,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8937169309,8936064309,-1105000
5538,3944,AmJ2bbFshvusYFiHzDqg2KSQbGdfngTrb6XBmJnHwi22,,0,1100000,1100000
5537,3944,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8937194458,8936089458,-1105000
5536,3943,99999ocGGdLH45WazXhY3kmLc98iSNm7bL2nTH15TwTA,,198610318,198604610,-5708
5535,3942,66666y3RmL6gNyttNKXNhF5awxAWbBdGSfpKuaTLrjRH,,1277718786,1277705202,-13584
5534,3941,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8937201856,8937194458,-7398
5533,3940,99999ocGGdLH45WazXhY3kmLc98iSNm7bL2nTH15TwTA,,198616151,198610318,-5833
5532,3939,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8937210193,8937201856,-8337
5531,3938,ADaUMid9yfUytqMBgopwjb2DTLSokTSzL1zt6iGPaS49,,1173902,1192476,18574
5530,3938,66666y3RmL6gNyttNKXNhF5awxAWbBdGSfpKuaTLrjRH,,1277742360,1277718786,-23574
5529,3937,3KvsoNxgn64nsuHKPBHQJsguef3DgEkP2izE49k6CSAZ,,1813491741,1813483456,-8285
5528,3936,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8950290306,8950282906,-7400
5527,3935,A9eLa4Rr7Z78ovaiHQacsVsYRygtN32Pq48DhSLdhKoT,,808604339,808598494,-5845
5526,3934,3KvsoNxgn64nsuHKPBHQJsguef3DgEkP2izE49k6CSAZ,,1815907620,1815899900,-7720
5525,3933,A9eLa4Rr7Z78ovaiHQacsVsYRygtN32Pq48DhSLdhKoT,,808610276,808604339,-5937
5524,3932,3KvsoNxgn64nsuHKPBHQJsguef3DgEkP2izE49k6CSAZ,,1815915833,1815907620,-8213
5523,3931,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8965033328,8965025932,-7396
5522,3930,92zpDPkQkXcz6aGJJFBf3CUHsdUYJv6dYThmzGFuMQBg,,0,1100000,1100000
5521,3930,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8965219704,8964114704,-1105000
5520,3929,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8965239904,8965219704,-20200
5519,3928,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8965247302,8965239904,-7398
5518,3927,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8978829751,8978813368,-16383
5517,3926,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8978846537,8978829751,-16786
5516,3925,Dfax8hzLKNQf31vRBef12qh8hkitm8jcaoBvVaQqvVF,,0,1100000,1100000
5515,3925,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8978875535,8977770535,-1105000
5514,3924,HA7VU85SLWu8v21FGttxrKiL2fjFWsXCAzTZHV69zMho,,0,1100000,1100000
5513,3924,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8978904533,8977799533,-1105000
5512,3923,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8978921308,8978904533,-16775
5511,3922,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8978938089,8978921308,-16781
5510,3921,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8978954877,8978938089,-16788
5509,3920,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8978971656,8978954877,-16779
5508,3919,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8978988439,8978971656,-16783
5507,3918,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8979005225,8978988439,-16786
5506,3917,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8979021996,8979005225,-16771
5505,3916,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8979038782,8979021996,-16786
5504,3915,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8979055554,8979038782,-16772
5503,3914,HgGR8yxgs95PVWCyPZU51aHTSNiocipXB7Afsa28A63S,,0,1100000,1100000
5502,3914,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8979084552,8977979552,-1105000
5501,3913,BFYWyNHRtxMBqN8KnBVfhMKPoF1zpn7KbKzATQtQj4PQ,,0,1100000,1100000
5500,3913,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8979113550,8978008550,-1105000
5499,3912,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8979130324,8979113550,-16774
5498,3911,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8979147112,8979130324,-16788
5497,3910,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8979154509,8979147112,-7397
5496,3909,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8979171302,8979154509,-16793
5495,3908,2KVJZjhxQKcJJjcP13C2QuEd5t5t8KyGMWH9YxCZMscH,,0,1100000,1100000
5494,3908,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8979200300,8978095300,-1105000
5493,3907,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8979207697,8979200300,-7397
5492,3906,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8979215093,8979207697,-7396
5491,3905,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8979222489,8979215093,-7396
5490,3904,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8979229886,8979222489,-7397
5489,3903,BjZRKTKRicozo8ixDJeE43JRRpAWspb8AfKtpWRaeZzc,,0,1100000,1100000
5488,3903,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8979258884,8978153884,-1105000
5487,3902,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8979266281,8979258884,-7397
5486,3901,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8979273678,8979266281,-7397
5485,3900,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8979281078,8979273678,-7400
5484,3899,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8979288476,8979281078,-7398
5483,3898,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8979295875,8979288476,-7399
5482,3897,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8979303274,8979295875,-7399
5481,3896,HKrNMeWqhSZGV7v1EhiXAVsfNjrMSkSBywwaRawUYffM,,0,1100000,1100000
5480,3896,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8979331037,8978226037,-1105000
5479,3895,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8979338899,8979331037,-7862
5478,3894,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8979346299,8979338899,-7400
5477,3893,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8979353696,8979346299,-7397
5476,3892,TuEfGhqovsAq1LxDfeaTDvgYKpC1qYodZbtN2c953Jk,,0,1100000,1100000
5475,3892,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8979381955,8978276955,-1105000
5474,3891,5r8CHoP8WY3zmXDmetK1srEv61r4oE3a9hZUSTnRQTbe,,0,1100000,1100000
5473,3891,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8979410214,8978305214,-1105000
5472,3890,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8979417612,8979410214,-7398
5471,3889,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8979425012,8979417612,-7400
5470,3888,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8979432411,8979425012,-7399
5469,3887,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8979440705,8979432411,-8294
5468,3886,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8979448996,8979440705,-8291
5467,3885,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8979457287,8979448996,-8291
5466,3884,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8979465577,8979457287,-8290
5465,3883,66666y3RmL6gNyttNKXNhF5awxAWbBdGSfpKuaTLrjRH,,1283074111,1283062215,-11896
5464,3882,G3JgHrojdqp9ZFZchyfnXFToFEVD2HeACYua5oRDEAKB,,0,1100000,1100000
5463,3882,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8980999947,8979894947,-1105000
5462,3881,EAzc3QpPJiQkKJfcsmJMgE6oy8dtKDx4RU7o7Ps8UERP,,0,1100000,1100000
5461,3881,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8982038640,8980933640,-1105000
5460,3880,FenuEoWEdR1txSXauCPXMnkYR2ZcaLy9f92W2WZoqXgg,,0,1100000,1100000
5459,3880,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8984199756,8983094756,-1105000
5458,3879,z8TdcU6SkQwNuktvcsnLBzwvyaUCuiAbiZxhnVYE2yR,,0,1100000,1100000
5457,3879,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8984215552,8983110552,-1105000
5456,3878,DQzNFECDRfLHCfdE9tVqWP7qZkwzNy4VTAsDdqqpT3BT,,0,1100000,1100000
5455,3878,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8988023582,8986918582,-1105000
5454,3877,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8996807014,8996799615,-7399
